ir;vou
diluir;diluo
decifrar;decifro
noticiar;noticio
retroceder;retrocedo
invocar;invoco
paquerar;paquero
flutuar;flutuo
esmagar;esmago
desfear;desfeio
sublinhar;sublinho
soletrar;soletro
camboar;camboo
flertar;flerto
sobrestar;sobrestou
curvar;curvo
impregnar;impregno
internar;interno
enquadrar;enquadro
danar;dano
especificar;especifico
orçar;orço
forcar;forco
flagrar;flagro
presumir;presumo
financiar;financio
rumorejar;rumorejo
mobilizar;mobilizo
trufar;trufo
defenestrar;defenestro
anular;anulo
pelar;pelo
triturar;trituro
arfar;arfo
deliciar;delicio
importunar;importuno
requisitar;requisito
desmentir;desminto
comerciar;comercio
subestimar;subestimo
espiritualizar;espiritualizo
ruidar;ruido
datilografar;datilografo
tardar;tardo
colidir;colido
escravizar;escravizo
impossibilitar;impossibilito
decolar;decolo
alocar;aloco
merendar;merendo
anuir;anuo
empreender;empreendo
retroar;retroo
armazenar;armazeno
atenuar;atenuo
transcender;transcendo
espartejar;espartejo
contaminar;contamino
assimilar;assimilo
adimplir;adimplo
clamar;clamo
deglutir;degluto
faturar;faturo
dificultar;dificulto
perpetuar;perpetuo
piar;pio
apelar;apelo
desalojar;desalojo
engravidar;engravido
incumbir;incumbo
entoar;entoo
sujeitar;sujeito
pungir;punjo
reembolsar;reembolso
idolatrar;idolatro
cismar;cismo
frustrar;frustro
enlear;enleio
detectar;detecto
retratar;retrato
esquiar;esquio
conchegar;conchego
custear;custeio
ecoar;ecoo
espicaçar;espicaço
tremeluzir;tremeluzo
avir;avenho
maçonizar;maçonizo
ratificar;ratifico
arrebentar;arrebento
intuir;intuo
pospor;posponho
precipitar;precipito
aprofundar;aprofundo
inferir;infiro
domar;domo
socar;soco
desafogar;desafogo
alinhar;alinho
abafar;abafo
sensibilizar;sensibilizo
espelhar;espelho
vincular;vinculo
propagar;propago
qualificar;qualifico
medicar;medico
objetivar;objetivo
voltejar;voltejo
elucidar;elucido
desativar;desativo
equivocar;equivoco
rachar;racho
fascinar;fascino
gargalhar;gargalho
padecer;padeço
tombar;tombo
driblar;driblo
dirimir;dirimo
ausentar;ausento
escapulir;escapulo
retificar;retifico
desrespeitar;desrespeito
outorgar;outorgo
negligenciar;negligencio
serrar;serro
atracar;atraco
empezar;empezo
desmarcar;desmarco
amanhar;amanho
consagrar;consagro
engajar;engajo
reeleger;reelejo
reprisar;repriso
aceder;acedo
prostrar;prostro
sofrear;sofreio
trilhar;trilho
acatar;acato
assoprar;assopro
contextualizar;contextualizo
descontinuar;descontinuo
desenfastiar;desenfastio
abotoar;abotoo
difamar;difamo
cotar;coto
ressumar;ressumo
regularizar;regularizo
revezar;revezo
esgotar;esgoto
fichar;ficho
adoçar;adoço
recair;recaio
compadecer;compadeço
rodopiar;rodopio
cutucar;cutuco
desassossegar;desassossego
congratular;congratulo
agachar;agacho
ostentar;ostento
regozijar;regozijo
compassar;compasso
acostar;acosto
habilitar;habilito
cooperar;coopero
aterrizar;aterrizo
futurar;futuro
descontar;desconto
aflar;aflo
aparentar;aparento
disseminar;dissemino
estruturar;estruturo
descumprir;descumpro
assemelhar;assemelho
manipular;manipulo
alçar;alço
aspergir;asperjo
amarar;amaro
igualar;igualo
batalhar;batalho
listar;listo
evadir;evado
descalçar;descalço
rematar;remato
efetivar;efetivo
reiniciar;reinicio
rotear;roteio
apodrecer;apodreço
embirrar;embirro
resfolegar;resfólego
dissertar;disserto
distorcer;distorço
fracassar;fracasso
realçar;realço
caprichar;capricho
enferrujar;enferrujo
destinar;destino
confrontar;confronto
predominar;predomino
restabelecer;restabeleço
originar;origino
subscrever;subscrevo
descabelar;descabelo
vigorar;vigoro
iriar;irio
atormentar;atormento
cercear;cerceio
impulsionar;impulsiono
enfraquecer;enfraqueço
invitar;invito
remontar;remonto
consolidar;consolido
assediar;assedio
historiar;historio
inchar;incho
agravar;agravo
graduar;graduo
oscilar;oscilo
repercutir;repercuto
interditar;interdito
zerar;zero
acaçapar;acaçapo
rimar;rimo
formatar;formato
presentar;presento
içar;iço
agasalhar;agasalho
exalar;exalo
afazer;afaço
aguçar;aguço
rebolar;rebolo
inovar;inovo
saquear;saqueio
enricar;enrico
estufar;estufo
apelidar;apelido
reverenciar;reverencio
corar;coro
remexer;remexo
salpicar;salpico
afrouxar;afrouxo
discriminar;discrimino
calmar;calmo
tanger;tanjo
dissecar;disseco
deleitar;deleito
lucrar;lucro
idear;ideio
pausar;pauso
desabar;desabo
diagnosticar;diagnostico
untar;unto
privilegiar;privilegio
intensificar;intensifico
presidir;presido
vacilar;vacilo
exportar;exporto
sinalizar;sinalizo
vetar;veto
enfartar;enfarto
revolver;revolvo
suscitar;suscito
amolecer;amoleço
buzinar;buzino
engasgar;engasgo
formalizar;formalizo
revistar;revisto
arrotar;arroto
dizimar;dizimo
esbanjar;esbanjo
forjar;forjo
descarregar;descarrego
guerrear;guerreio
resignar;resigno
desatacar;desataco
caluniar;calunio
reconciliar;reconcilio
revogar;revogo
intimidar;intimido
atiçar;atiço
estuprar;estupro
bordar;bordo
cacarejar;cacarejo
desentulhar;desentulho
bufar;bufo
desprender;desprendo
desbancar;desbanco
evocar;evoco
lecionar;leciono
pilotar;piloto
ralar;ralo
afamar;afamo
arrecadar;arrecado
afluir;afluo
afagar;afago
endurecer;endureço
mugir;mujo
infligir;inflijo
fatiar;fatio
glorificar;glorifico
desmerecer;desmereço
penetrar;penetro
ocasionar;ocasiono
auferir;aufiro
cultuar;cultuo
seriar;serio
chagar;chago
cingir;cinjo
rugitar;rugito
franzir;franzo
terçar;terço
cartar;carto
especializar;especializo
refrescar;refresco
ressurgir;ressurjo
embebedar;embebedo
destituir;destituo
umedecer;umedeço
lavrar;lavro
purificar;purifico
subverter;subverto
agoniar;agonio
locomover;locomovo
simplificar;simplifico
alternar;alterno
folgar;folgo
generalizar;generalizo
prosperar;prospero
prolongar;prolongo
conceituar;conceituo
beliscar;belisco
trapacear;trapaceio
algemar;algemo
fiscalizar;fiscalizo
recriar;recrio
envenenar;enveneno
liar;lio
lisonjear;lisonjeio
elar;elo
ensaibrar;ensaibro
resplandecer;resplandeço
ferrar;ferro
sambar;sambo
sustar;susto
jejuar;jejuo
lacar;laco
principiar;principio
amenizar;amenizo
evacuar;evacuo
demandar;demando
embelezar;embelezo
intrometer;intrometo
repensar;repenso
desmontar;desmonto
desconectar;desconecto
gorjear;gorjeio
vedar;vedo
vadiar;vadio
crucificar;crucifico
esboçar;esboço
consignar;consigno
raptar;rapto
salgar;salgo
barrar;barro
urinar;urino
inquirir;inquiro
empobrecer;empobreço
alumiar;alumio
abreviar;abrevio
folhar;folho
desprover;desprovo
reconvir;reconvenho
refutar;refuto
cogitar;cogito
contrastar;contrasto
profetizar;profetizo
repudiar;repudio
escoar;escoo
engrandecer;engrandeço
desabafar;desabafo
estampar;estampo
aquietar;aquieto
assombrar;assombro
soluçar;soluço
debulhar;debulho
lixar;lixo
sorver;sorvo
filtrar;filtro
migrar;migro
pilar;pilo
bolar;bolo
perfumar;perfumo
bem-querer;bem-quero
desemalar;desemalo
aprisionar;aprisiono
roçar;roço
infiltrar;infiltro
presar;preso
sondar;sondo
velejar;velejo
acrescer;acresço
alargar;alargo
pichar;picho
acautelar;acautelo
bronzear;bronzeio
entornar;entorno
transcorrer;transcorro
lapidar;lapido
mascarar;mascaro
descompor;descomponho
bancar;banco
aleijar;aleijo
castrar;castro
condicionar;condiciono
embasar;embaso
indenizar;indenizo
rastejar;rastejo
edificar;edifico
enamorar;enamoro
voltear;volteio
explicitar;explicito
ludibriar;ludibrio
simular;simulo
otimizar;otimizo
sapatear;sapateio
delegar;delego
perdurar;perduro
encharcar;encharco
pedalar;pedalo
rebater;rebato
entediar;entedio
relevar;relevo
açoitar;açoito
afiar;afio
agraciar;agracio
capinar;capino
rumar;rumo
trançar;tranço
espionar;espiono
revolucionar;revoluciono
reativar;reativo
refogar;refogo
imperar;impero
recolocar;recoloco
adjetivar;adjetivo
modelar;modelo
colorar;coloro
revenir;reveno
deprimir;deprimo
desentupir;desentupo
moscar;musco
desfilar;desfilo
pontear;ponteio
possar;posso
comungar;comungo
gaguejar;gaguejo
subsidiar;subsidio
assolar;assolo
empinar;empino
parafrasear;parafraseio
acalentar;acalento
atestar;atesto
borrar;borro
exterminar;extermino
aperrear;aperreio
menosprezar;menosprezo
acasalar;acasalo
ajuizar;ajuízo
despencar;despenco
incitar;incito
sentenciar;sentencio
varar;varo
anteceder;antecedo
insurgir;insurjo
azar;azo
gesticular;gesticulo
raiar;raio
parodiar;parodio
refrear;refreio
massacrar;massacro
gabar;gabo
apegar;apego
cochichar;cochicho
preceder;precedo
ressentir;ressento
afeiçoar;afeiçoo
decair;decaio
desiludir;desiludo
dissipar;dissipo
lesar;leso
apoderar;apodero
resguardar;resguardo
granjear;granjeio
implodir;implodo
filiar;filio
imputar;imputo
numerar;numero
degradar;degrado
replicar;replico
feitar;feito
serenar;sereno
abrasar;abraso
rer;ro
perverter;perverto
socializar;socializo
desentender;desentendo
pincelar;pincelo
policiar;policio
veicular;veiculo
detalhar;detalho
doutrinar;doutrino
pelear;peleio
regulamentar;regulamento
esmiuçar;esmiúço
decapitar;decapito
filosofar;filosofo
ovar;ovo
rejuvenescer;rejuvenesço
amedrontar;amedronto
arear;areio
ovacionar;ovaciono
recobrir;recubro
enfear;enfeio
aduzir;aduzo
amamentar;amamento
idealizar;idealizo
revirar;reviro
sancionar;sanciono
vistoriar;vistorio
grunhir;grunho
prorrogar;prorrogo
retrucar;retruco
imobilizar;imobilizo
grifar;grifo
resfriar;resfrio
ninar;nino
segar;sego
achegar;achego
chiar;chio
abduzir;abduzo
intrigar;intrigo
infectar;infecto
sabotar;saboto
fomentar;fomento
contorcer;contorço
incutir;incuto
desgastar;desgasto
tramar;tramo
arregalar;arregalo
interverter;interverto
objetar;objeto
acidentar;acidento
apedrejar;apedrejo
chefiar;chefio
compilar;compilo
disciplinar;disciplino
chacoalhar;chacoalho
transpassar;transpasso
abortar;aborto
transacionar;transaciono
garoar;garoo
dormitar;dormito
desamparar;desamparo
insinuar;insinuo
redarguir;redarguo
demostrar;demostro
desdenhar;desdenho
esquivar;esquivo
desertar;deserto
foiçar;foiço
santificar;santifico
bajular;bajulo
aconchegar;aconchego
imbuir;imbuo
ressoar;ressoo
apregoar;apregoo
aclamar;aclamo
carimbar;carimbo
cortejar;cortejo
esmorecer;esmoreço
indeferir;indefiro
apavorar;apavoro
clicar;clico
culminar;culmino
adubar;adubo
declamar;declamo
espetar;espeto
hebetar;hebeto
torrar;torro
bombardear;bombardeio
relampear;relampeio
balbuciar;balbucio
registar;registo
tarar;taro
amarelar;amarelo
molestar;molesto
recrear;recreio
ridicularizar;ridicularizo
sobrescrever;sobrescrevo
multar;multo
porejar;porejo
sedar;sedo
digladiar;digladio
entusiasmar;entusiasmo
estabilizar;estabilizo
alicerçar;alicerço
detonar;detono
liquidar;liquido
embriagar;embriago
professar;professo
bradar;brado
desenrolar;desenrolo
encimar;encimo
justapor;justaponho
mofar;mofo
chamegar;chamego
zumbir;zumbo
brandar;brando
reflexionar;reflexiono
amolar;amolo
ejacular;ejaculo
injetar;injeto
estuar;estuo
lascar;lasco
sovar;sovo
creditar;credito
revidar;revido
figurar;figuro
ancorar;ancoro
lindar;lindo
barbear;barbeio
apunhalar;apunhalo
aterrar;aterro
sepultar;sepulto
aterrorizar;aterrorizo
minimizar;minimizo
quietar;quieto
rotular;rotulo
deteriorar;deterioro
reflectir;reflecto
descomplicar;descomplico
explanar;explano
pautar;pauto
desprazer;despraço
nominar;nomino
parear;pareio
capotar;capoto
divagar;divago
consubstanciar;consubstancio
congregar;congrego
estagnar;estagno
personalizar;personalizo
prensar;prenso
estalar;estalo
homologar;homologo
realocar;realoco
alienar;alieno
admoestar;admoesto
coisar;coiso
constringir;constrinjo
destoar;destoo
farrear;farreio
alavancar;alavanco
abrandar;abrando
sobrepujar;sobrepujo
escassear;escasseio
garotar;garoto
reanimar;reanimo
endireitar;endireito
burlar;burlo
espreguiçar;espreguiço
conjurar;conjuro
engrossar;engrosso
aquiescer;aquiesço
simbolizar;simbolizo
afinar;afino
enraizar;enraízo
estrelar;estrelo
domesticar;domestico
legalizar;legalizo
rebaixar;rebaixo
sobrecarregar;sobrecarrego
subornar;suborno
empeçar;empeço
later;lato
mear;meio
desmascarar;desmascaro
silvar;silvo
subsistir;subsisto
putrefazer;putrefaço
impetrar;impetro
falsear;falseio
mensurar;mensuro
apender;apendo
desagradar;desagrado
redirecionar;redireciono
segmentar;segmento
engatinhar;engatinho
conspirar;conspiro
enfurecer;enfureço
esbravejar;esbravejo
ofuscar;ofusco
enturmar;enturmo
remanejar;remanejo
atrever;atrevo
autuar;autuo
flexionar;flexiono
intitular;intitulo
desarmar;desarmo
evaporar;evaporo
materializar;materializo
potencializar;potencializo
protocolizar;protocolizo
recrutar;recruto
exarar;exaro
tergiversar;tergiverso
inspecionar;inspeciono
descuidar;descuido
arrebatar;arrebato
imprensar;imprenso
liquefazer;liquefaço
prosear;proseio
vangloriar;vanglorio
debochar;debocho
depreender;depreendo
masturbar;masturbo
rebentar;rebento
reconstituir;reconstituo
beirar;beiro
circundar;circundo
desencorajar;desencorajo
desonrar;desonro
enumerar;enumero
exortar;exorto
interceptar;intercepto
ralhar;ralho
seleccionar;selecciono
acometer;acometo
incriminar;incrimino
postular;postulo
surrar;surro
embaralhar;embaralho
reintegrar;reintegro
ababadar;ababado
desbravar;desbravo
mesclar;mesclo
laçar;laço
bicar;bico
chuviscar;chuvisco
cravar;cravo
farar;faro
proliferar;prolifero
violentar;violento
abundar;abundo
reencontrar;reencontro
lacrar;lacro
resvalar;resvalo
demover;demovo
despistar;despisto
enojar;enojo
exorcizar;exorcizo
abrilhantar;abrilhanto
empunhar;empunho
saldar;saldo
acorrentar;acorrento
delirar;deliro
reverberar;reverbero
homogeneizar;homogeneízo
penalizar;penalizo
maravilhar;maravilho
deletar;deleto
ceifar;ceifo
estreitar;estreito
violar;violo
enfocar;enfoco
grudar;grudo
locupletar;locupleto
reclusar;recluso
relar;relo
deslumbrar;deslumbro
acetar;aceto
familiarizar;familiarizo
inflar;inflo
pluralizar;pluralizo
duplicar;duplico
entrelaçar;entrelaço
versar;verso
reformular;reformulo
apear;apeio
embaraçar;embaraço
agrupar;agrupo
angariar;angario
assear;asseio
planar;plano
rememorar;rememoro
dedar;dedo
embutir;embuto
enternecer;enterneço
extrapolar;extrapolo
encurtar;encurto
regrar;regro
conjecturar;conjecturo
soldar;soldo
equipar;equipo
mendigar;mendigo
amansar;amanso
deportar;deporto
endossar;endosso
sedimentar;sedimento
coadunar;coaduno
intoxicar;intoxico
maçar;maço
chicotear;chicoteio
eclipsar;eclipso
espirar;espiro
aparar;aparo
enrijecer;enrijeço
desdar;desdo
perfurar;perfuro
assoviar;assovio
desvencilhar;desvencilho
legitimar;legitimo
tostar;tosto
externar;externo
intencionar;intenciono
asseverar;assevero
atrelar;atrelo
desdobrar;desdobro
trebelhar;trebelho
licenciar;licencio
afectar;afecto
alardear;alardeio
desvanecer;desvaneço
exonerar;exonero
avizinhar;avizinho
invalidar;invalido
alar;alo
falsificar;falsifico
alistar;alisto
culpabilizar;culpabilizo
retroagir;retroajo
tatear;tateio
macular;maculo
mancar;manco
pifar;pifo
apresar;apreso
eclodir;eclodo
fertilizar;fertilizo
madrugar;madrugo
medrar;medro
onerar;onero
remendar;remendo
emanar;emano
incrementar;incremento
salvaguardar;salvaguardo
vitoriar;vitorio
desnudar;desnudo
normalizar;normalizo
pinar;pino
prontificar;prontifico
açodar;açodo
embaçar;embaço
equiparar;equiparo
transpirar;transpiro
diligenciar;diligencio
destravar;destravo
deserdar;deserdo
modular;modulo
relegar;relego
retrair;retraio
apalpar;apalpo
convalescer;convalesço
lastimar;lastimo
ornar;orno
protelar;protelo
reencaminhar;reencaminho
regurgitar;regurgito
reluzir;reluzo
desabonar;desabono
desgrudar;desgrudo
regenerar;regenero
acantoar;acantoo
espernear;esperneio
extraviar;extravio
adoptar;adopto
escarnecer;escarneço
assanhar;assanho
balancear;balanceio
escultar;esculto
amontoar;amontoo
evangelizar;evangelizo
fincar;finco
problematizar;problematizo
metamorfosear;metamorfoseio
preponderar;prepondero
repugnar;repugno
rifar;rifo
descongelar;descongelo
entrepor;entreponho
despojar;despojo
dotar;doto
impar;impo
trovar;trovo
pipocar;pipoco
enfeitiçar;enfeitiço
esbofetear;esbofeteio
inflamar;inflamo
verberar;verbero
harmonizar;harmonizo
preconizar;preconizo
rosnar;rosno
cicatrizar;cicatrizo
sediar;sedio
transvasar;transvaso
bobear;bobeio
desvalorizar;desvalorizo
entravar;entravo
abalroar;abalroo
enfermar;enfermo
minar;mino
centrar;centro
desposar;desposo
atinar;atino
deliberar;delibero
encapar;encapo
pastorear;pastoreio
aprazar;aprazo
desvirtuar;desvirtuo
exilar;exilo
germinar;germino
ilhar;ilho
vasculhar;vasculho
cambalear;cambaleio
desmatar;desmato
espichar;espicho
fecundar;fecundo
gloriar;glorio
azedar;azedo
devanear;devaneio
interligar;interligo
polvilhar;polvilho
rebelar;rebelo
cantarejar;cantarejo
contender;contendo
contravir;contravenho
correlacionar;correlaciono
encerar;encero
hipnotizar;hipnotizo
avariar;avario
desconcentrar;desconcentro
encenar;enceno
entrouxar;entrouxo
lacrimejar;lacrimejo
positivar;positivo
abocanhar;abocanho
copular;copulo
cumular;cumulo
encarecer;encareço
fuzilar;fuzilo
bombear;bombeio
documentar;documento
hibernar;hiberno
asar;aso
palrar;palro
primar;primo
carrear;carreio
transudar;transudo
pacificar;pacifico
unificar;unifico
cavoucar;cavouco
envidar;envido
estacar;estaco
trovoar;trovoo
fraudar;fraudo
laborar;laboro
gratificar;gratifico
devastar;devasto
premer;premo
trafegar;trafego
endeusar;endeuso
experienciar;experiencio
fraquejar;fraquejo
acuar;acuo
xerocar;xeroco
abonar;abono
boicotar;boicoto
colapsar;colapso
escorar;escoro
remitir;remito
supervisionar;supervisiono
transigir;transijo
ultrajar;ultrajo
esgueirar;esgueiro
estapear;estapeio
fornir;forno
revoar;revoo
camuflar;camuflo
pitar;pito
desembrulhar;desembrulho
jorrar;jorro
desmistificar;desmistifico
aclarar;aclaro
amornar;amorno
depreciar;deprecio
inocentar;inocento
ironizar;ironizo
moderar;modero
reatar;reato
contundir;contundo
desapegar;desapego
arregaçar;arregaço
iterar;itero
perambular;perambulo
advogar;advogo
arredar;arredo
estagiar;estagio
respaldar;respaldo
aranhar;aranho
depredar;depredo
justiçar;justiço
trotar;troto
atolar;atolo
consternar;consterno
aliciar;alicio
escavar;escavo
fundear;fundeio
reestruturar;reestruturo
vexar;vexo
condensar;condenso
reafirmar;reafirmo
desacreditar;desacredito
estrangular;estrangulo
focalizar;focalizo
prostituir;prostituo
agonizar;agonizo
entortar;entorto
tapear;tapeio
anestesiar;anestesio
poetizar;poetizo
catequizar;catequizo
lerdear;lerdeio
adulterar;adultero
rubricar;rubrico
imitir;imito
renegar;renego
safar;safo
arrendar;arrendo
ufanar;ufano
abluir;abluo
chilrear;chilreio
desvincular;desvinculo
enroscar;enrosco
ressalvar;ressalvo
instar;insto
mitigar;mitigo
solver;solvo
desequilibrar;desequilibro
plantear;planteio
carminar;carmino
neutralizar;neutralizo
autenticar;autentico
certar;certo
endividar;endivido
galopar;galopo
gamar;gamo
blasfemar;blasfemo
gazear;gazeio
lambiscar;lambisco
apadrinhar;apadrinho
olear;oleio
traficar;trafico
abominar;abomino
banalizar;banalizo
esmerar;esmero
fortificar;fortifico
remunerar;remunero
caducar;caduco
esnobar;esnobo
melar;melo
segregar;segrego
tumultuar;tumultuo
estornar;estorno
recontar;reconto
agenciar;agencio
embainhar;embainho
encarnar;encarno
estaquear;estaqueio
padronizar;padronizo
pernoitar;pernoito
zunir;zuno
controverter;controverto
dissentir;dissento
dosar;doso
enlaçar;enlaço
redizer;redigo
relinchar;relincho
satirizar;satirizo
tosar;toso
coaxar;coaxo
entrosar;entroso
oficializar;oficializo
predicar;predico
voejar;voejo
papar;papo
acorrer;acorro
brisar;briso
desenformar;desenformo
drogar;drogo
erodir;erodo
frutificar;frutifico
inalar;inalo
canalizar;canalizo
desembaraçar;desembaraço
lagrimar;lagrimo
modernizar;modernizo
vitimar;vitimo
espanholizar;espanholizo
estancar;estanco
inviabilizar;inviabilizo
talar;talo
espairecer;espaireço
radicalizar;radicalizo
reabilitar;reabilito
sevar;sevo
suavizar;suavizo
vilipendiar;vilipendio
afixar;afixo
ebulir;ebulo
perscrutar;perscruto
humanizar;humanizo
ambicionar;ambiciono
ermar;ermo
escoltar;escolto
inadimplir;inadimplo
maquinar;maquino
amaciar;amacio
encurralar;encurralo
impulsar;impulso
balear;baleio
posar;poso
campear;campeio
desarrumar;desarrumo
blindar;blindo
contraditar;contradito
desandar;desando
prepor;preponho
cunhar;cunho
desencontrar;desencontro
tanar;tano
antipatizar;antipatizo
balir;balo
defrontar;defronto
englobar;englobo
trasladar;traslado
aluir;aluo
desmoralizar;desmoralizo
mentalizar;mentalizo
nivelar;nivelo
ratear;rateio
desamarrar;desamarro
ladear;ladeio
emoldurar;emolduro
engessar;engesso
escancarar;escancaro
propender;propendo
usurpar;usurpo
chumbar;chumbo
representear;representeio
ervar;ervo
esculachar;esculacho
execrar;execro
catalogar;catalogo
reaparecer;reapareço
alastrar;alastro
desabotoar;desabotoo
destratar;destrato
distratar;distrato
trenar;treno
destrinchar;destrincho
pisotear;pisoteio
rasurar;rasuro
ventilar;ventilo
deflagrar;deflagro
deturpar;deturpo
desmantelar;desmantelo
enfadar;enfado
estatuir;estatuo
chapar;chapo
dedurar;deduro
enervar;enervo
estear;esteio
reconduzir;reconduzo
convizinhar;convizinho
depilar;depilo
adestrar;adestro
estumar;estumo
estuporar;estuporo
levedar;levedo
margear;margeio
ornamentar;ornamento
amuar;amuo
apreçar;apreço
escrevinhar;escrevinho
madurar;maduro
quarar;quaro
silabar;silabo
valar;valo
confidenciar;confidencio
descontrair;descontraio
franquear;franqueio
espargir;esparjo
superpor;superponho
trombar;trombo
amputar;amputo
desaparelhar;desaparelho
facultar;faculto
golear;goleio
irrigar;irrigo
ariar;ario
aticar;atico
clarificar;clarifico
desacelerar;desacelero
desgostar;desgosto
anelar;anelo
engendrar;engendro
etiquetar;etiqueto
filar;filo
republicar;republico
aiar;aio
nanar;nano
passajar;passajo
procriar;procrio
rosetar;roseto
acovardar;acovardo
escandalizar;escandalizo
martirizar;martirizo
readquirir;readquiro
reincidir;reincido
adejar;adejo
arrolar;arrolo
cotizar;cotizo
debitar;debito
delimitar;delimito
injuriar;injurio
passamanar;passamano
surrupiar;surrupio
arvorar;arvoro
baratear;barateio
fulgurar;fulguro
imperfeiçoar;imperfeiçoo
prantear;pranteio
exemplar;exemplo
pactuar;pactuo
perquirir;perquiro
confiscar;confisco
grafar;grafo
manobrar;manobro
reapresentar;reapresento
rostir;rosto
amorenar;amoreno
desfiar;desfio
estipular;estipulo
toar;too
assomar;assomo
definhar;definho
descontrolar;descontrolo
enveredar;enveredo
excomungar;excomungo
gorar;goro
librar;libro
plainar;plaino
reputar;reputo
titular;titulo
acobertar;acoberto
compulsar;compulso
dissociar;dissocio
entremear;entremeio
escarrar;escarro
presentificar;presentifico
rotar;roto
tricotar;tricoto
vogar;vogo
inçar;inço
orquestrar;orquestro
polemizar;polemizo
reassumir;reassumo
asfixiar;asfixio
desassociar;desassocio
esganar;esgano
fadigar;fadigo
subordinar;subordino
civilizar;civilizo
confinar;confino
desaparafusar;desaparafuso
loar;loo
obviar;obvio
rebocar;reboco
sanear;saneio
concatenar;concateno
desaprender;desaprendo
expurgar;expurgo
facear;faceio
ferroar;ferroo
labutar;labuto
maldar;maldo
pear;peio
traumatizar;traumatizo
vivificar;vivifico
centralizar;centralizo
desnortear;desnorteio
espocar;espoco
ouriçar;ouriço
querar;quero
radicar;radico
remodelar;remodelo
vociferar;vocifero
florear;floreio
planificar;planifico
traquejar;traquejo
correger;correjo
despentear;despenteio
subdividir;subdivido
tornear;torneio
tumefazer;tumefaço
confluir;confluo
distender;distendo
singularizar;singularizo
sublimar;sublimo
transluzir;transluzo
atordoar;atordoo
avocar;avoco
bem-fazer;bem-faço
desmembrar;desmembro
recensear;recenseio
arrematar;arremato
bisbilhotar;bisbilhoto
digitalizar;digitalizo
dilacerar;dilacero
enobrecer;enobreço
reinventar;reinvento
tachar;tacho
trinar;trino
esquartejar;esquartejo
redobrar;redobro
revigorar;revigoro
arejar;arejo
desinfetar;desinfeto
endoidar;endoido
falsar;falso
elidir;elido
lustrar;lustro
refinar;refino
rocar;roco
acoplar;acoplo
desqualificar;desqualifico
limar;limo
ensandecer;ensandeço
recapitular;recapitulo
vulnerabilizar;vulnerabilizo
agourar;agouro
auscultar;ausculto
deformar;deformo
inferiorizar;inferiorizo
ticar;tico
traquear;traqueio
desencantar;desencanto
excetuar;excetuo
acarear;acareio
chispar;chispo
drenar;dreno
encarcerar;encarcero
fustigar;fustigo
ilidir;ilido
maximizar;maximizo
quantificar;quantifico
reconquistar;reconquisto
talhar;talho
tralhar;tralho
verear;vereio
alarmar;alarmo
dissimular;dissimulo
ortografar;ortografo
regatear;regateio
escorraçar;escorraço
extirpar;extirpo
mutilar;mutilo
desenterrar;desenterro
enxotar;enxoto
expiar;expio
pernear;perneio
propugnar;propugno
represar;represo
retaliar;retalio
taralhar;taralho
amargar;amargo
arquear;arqueio
desarmonizar;desarmonizo
esterilizar;esterilizo
potenciar;potencio
renomear;renomeio
adornar;adorno
cantear;canteio
cominar;comino
hortar;horto
infundir;infundo
morsegar;morsego
canonizar;canonizo
envaidecer;envaideço
intercalar;intercalo
ruar;ruo
amossar;amosso
atraiçoar;atraiçoo
desacostumar;desacostumo
passagear;passageio
sagrar;sagro
sotopor;sotoponho
albergar;albergo
arbitrar;arbitro
desimpedir;desimpeço
dignar;digno
fraturar;fraturo
inquerir;inquiro
preternaturalizar;preternaturalizo
arrazoar;arrazoo
colgar;colgo
desclassificar;desclassifico
distar;disto
empestear;empesteio
fisgar;fisgo
majorar;majoro
murar;muro
relancear;relanceio
teclar;teclo
arribar;arribo
arrogar;arrogo
cintilar;cintilo
desfalecer;desfaleço
estirar;estiro
faiar;faio
irisar;iriso
luxar;luxo
transtornar;transtorno
traquinar;traquino
alvejar;alvejo
amandar;amando
balizar;balizo
depauperar;depaupero
desinteressar;desinteresso
palestrar;palestro
rufar;rufo
avalizar;avalizo
diversificar;diversifico
endoidecer;endoideço
enfeixar;enfeixo
enguiçar;enguiço
farinar;farino
indiciar;indicio
parafusar;parafuso
pugnar;pugno
serpentar;serpento
cabular;cabulo
desfalcar;desfalco
empilhar;empilho
obrar;obro
radiar;radio
empresar;empreso
fadar;fado
gotejar;gotejo
lufar;lufo
marear;mareio
mobilhar;mobilho
monger;monjo
pretermitir;pretermito
tangenciar;tangencio
daninhar;daninho
faulhar;faulho
municiar;municio
arremeter;arremeto
descriminar;descrimino
devotar;devoto
empacotar;empacoto
engatar;engato
correlatar;correlato
fracionar;fraciono
infeccionar;infecciono
poetar;poeto
venializar;venializo
borrifar;borrifo
dignificar;dignifico
esculhambar;esculhambo
esfolar;esfolo
jungir;junjo
ambientar;ambiento
amestrar;amestro
apensar;apenso
capar;capo
estrumar;estrumo
londrear;londreio
longinquar;longinquo
penhorar;penhoro
saltitar;saltito
choramingar;choramingo
estiar;estio
miscigenar;miscigeno
perpetrar;perpetro
praguejar;praguejo
sobejar;sobejo
balar;balo
borbulhar;borbulho
ciscar;cisco
desassear;desasseio
ensurdecer;ensurdeço
entulhar;entulho
pré-cozinhar;pré-cozinho
carrar;carro
desamassar;desamasso
jubilar;jubilo
naturalizar;naturalizo
vampirar;vampiro
